Time,AS 10093 Mean,AS 10093 SD,AS 10093 N,caffeine 20mM Mean,caffeine 20mM SD,caffeine 20mM N,Column8,Column9,Column10,CalA Mean,CalA SD,CalA N,Ctrl Mean,Ctrl SD,Ctrl N,H2O2 100uM Mean,H2O2 100uM SD,H2O2 100uM N,H2O2 200uM Mean,H2O2 200uM SD,H2O2 200uM N,H2O2 50uM Mean,H2O2 50uM SD,H2O2 50uM N,isoproterenol 100nM Mean,isoproterenol 100nM SD,isoproterenol 100nM N
00:02:00.0,0.9940837550971623,0.09375374366053968,320,0.9772813905195689,0.10047237856092794,279,,,,1.4873470818093477,0.21092643429071783,225,1.2968231082208468,0.18866030764576888,265,1.2597467499184762,0.1638398487544523,393,1.447878221816072,0.2158889944888722,489,1.376554638173245,0.17810851666992827,420,1.431465612688385,0.19906775451692807,402
00:02:05.0,0.9785526240586069,0.0990897983599364,321,0.9744700599486258,0.09701630062126587,291,,,,1.4651588901008132,0.20834285061146232,220,1.260525928017157,0.18247957275565624,261,1.2376445937360714,0.15711824282237166,386,1.401410784089801,0.20453526911974365,508,1.327613392674515,0.17312274811992864,417,1.382363083007299,0.1909310448679756,409
00:02:10.0,0.982481446818538,0.0948306398348445,325,0.9739902678992514,0.09787396380827923,299,,,,1.4400270398669996,0.20180560558037314,228,1.218926035951599,0.16784737070186773,267,1.1977007679065437,0.15018356569350633,393,1.3546930071209504,0.19535028010798638,510,1.2805087987593502,0.1664999956502036,420,1.31853691542802,0.17834935719321138,413
00:02:15.0,0.9794386332812958,0.09225480474785665,329,0.9686184718716121,0.09856672734853118,291,,,,1.407412342045368,0.2090550530373476,231,1.1634353773523816,0.15971380817588932,269,1.1510297888650802,0.13853138118352132,405,1.2984447169309563,0.19144029985014335,522,1.2286325766240067,0.15888813756042153,426,1.2571083441680644,0.16654636842973558,434
00:02:20.0,0.9822296070535802,0.09459052686114928,329,0.9732451504979035,0.09505995904456271,302,,,,1.3730618854211374,0.20615509893779405,229,1.125798089658688,0.15146357848398742,275,1.126823566855561,0.13137672178386894,402,1.2577775670713691,0.17850444726867937,534,1.1927625720905524,0.14229577478939442,428,1.1971021740187993,0.15888076853306368,437
00:02:25.0,0.9758801552058293,0.09343836891177522,328,0.9743084863410565,0.09745749916336674,298,,,,1.3417836810113901,0.19673807949431305,231,1.1011083169682083,0.1465366125122065,281,1.1005449558844498,0.12355592218203913,401,1.2130624337506883,0.1673414722224361,542,1.1610855158546562,0.13688287644507338,430,1.153946342609677,0.15084854200788553,436
00:02:30.0,0.966611842497132,0.09878159932699011,326,0.9682127214948918,0.09721294159374587,294,,,,1.3047161028222778,0.19976410575674083,233,1.071462596961846,0.13904867035880208,287,1.0720505958307327,0.12080243261815203,407,1.1747627008922024,0.1589974058707031,549,1.1157018156284464,0.1345032548632994,448,1.1167892588776025,0.14298703853492983,440
00:02:35.0,0.9749697277674163,0.09189513869730143,319,0.9751525488750293,0.09919677270144722,293,,,,1.2711540457381145,0.1936397220334835,235,1.0471331712984542,0.1348524369441198,289,1.0563653910014743,0.11476120405579064,410,1.1462071509715506,0.14533058858473358,560,1.0940134352761575,0.13047429916212377,454,1.0789073710858963,0.14429393801123805,463
00:02:40.0,0.9745717368710141,0.09248969901913863,331,0.9749473037843296,0.09641381256083514,291,,,,1.2488192527213595,0.19420870115462938,233,1.0241320328952765,0.13362638603646915,291,1.0407636966475948,0.11377277427338721,409,1.1225419347165493,0.14471445718236436,560,1.080433352200026,0.12344771686803295,460,1.0692991331871016,0.1376477416473145,457
00:02:45.0,0.9778400033356432,0.09295016173596,322,0.9679986518225423,0.09674301790742619,297,,,,1.215942531872923,0.19419061101696086,235,1.0148184149941837,0.12908338263410143,286,1.0303098344444344,0.10780766489928822,408,1.097660957608779,0.1354890089261927,565,1.0588245312347455,0.1235027653720706,466,1.0457928947346458,0.1350314928380003,461
00:02:50.0,0.9574061932897093,0.10465120066134595,336,0.9678018171094723,0.0995674926162264,293,,,,1.1949214562893389,0.18671984438134148,233,1.0080986422832574,0.12276998312815783,288,1.016814592557427,0.10783421089158965,423,1.077907595209582,0.13083962510737832,571,1.0431614788827344,0.11811204337353336,454,1.0222796083469605,0.12874703992493627,476
00:02:55.0,0.9769905895841083,0.09292340512704866,331,0.9704027581248875,0.09582386928313616,285,,,,1.176408999235538,0.1774667944839975,235,0.9995646634944446,0.12112564770887523,292,1.019128888805885,0.10719269999054942,411,1.0630863659056216,0.1271082256083882,576,1.0376368458393201,0.11660340803178626,458,1.021419883126708,0.12860033191159176,476
00:03:00.0,0.9781853448521711,0.09367627316707168,331,0.967064105116093,0.09836401138375932,290,,,,1.146634666801015,0.1785456627255643,236,0.9945351263623993,0.11964368199551342,299,1.0114809448412458,0.1086692304775989,416,1.0481381013373186,0.12440199371257088,579,1.0261761883123812,0.11391921985801269,457,1.0043554244023092,0.12392113669468866,476
00:03:05.0,0.9731574079266282,0.09238052162417067,329,0.9654867249052747,0.09655762216051875,294,,,,1.1432831227318647,0.17423915161720863,240,0.9957503116288549,0.1147718369993537,289,1.0125277275912075,0.10702044136007252,413,1.0457230292259871,0.11740221176905816,561,1.0130309436899378,0.1099918115449103,466,1.0004191937735831,0.11987340380196969,474
00:03:10.0,0.9754163271734216,0.0922449964639483,322,0.961264802184301,0.0971695131612077,296,,,,1.124997984073482,0.167263086239486,234,0.9857688508878476,0.11620509835961877,284,1.0026829911716413,0.10936959203673828,416,1.0283610049616605,0.11549808836397911,577,1.0050511109863292,0.11052889130368494,466,0.997618457896958,0.12047124324709031,476
00:03:15.0,0.974528253063759,0.09108927160848689,324,0.9647232864520787,0.09505123212853052,297,,,,1.0969628499186657,0.16682604447440505,240,0.9881937877409457,0.11310509323574348,289,1.0007134499326285,0.11197395365127281,421,1.0162442080085246,0.11923355875136066,588,1.0028057747955457,0.10714748232173912,471,0.9881422824699552,0.1169821902956094,482
00:03:20.0,0.9773892503725414,0.08864497545606626,326,0.9636984232271611,0.09831833282446789,289,,,,1.09640817919951,0.16238820410045457,242,0.982698383307009,0.11528186569475941,287,0.9944220569700981,0.11269692323324257,425,1.0170932753380257,0.11538344164061154,588,0.9959672964439551,0.1074149918705674,460,0.9843854724121619,0.12041313748150063,483
00:03:25.0,0.9618250842568663,0.09952355769679902,329,0.9636394936386525,0.10025035438987358,295,,,,1.0769501013130367,0.15759225991325193,244,0.9816579212627815,0.11518269416444357,288,1.0002362404392164,0.11161092945961201,423,1.0060295370551993,0.11350009443228781,584,0.9931884054405087,0.11025228028189844,473,0.9860931730628281,0.11671729815030675,478
